State,Crop,Season,Soil_Type,Rainfall_mm,Temperature_C,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Area_ha,Yield_ton_per_ha
Punjab,Wheat,Rabi,Loamy,520,22,140,2.1,2.5,4.8
Punjab,Rice,Kharif,Clay,780,30,160,2.8,3.0,5.9
Maharashtra,Cotton,Kharif,Black,620,31,110,2.4,4.0,2.3
Maharashtra,Soybean,Kharif,Black,690,29,95,1.8,3.5,2.1
Uttar Pradesh,Wheat,Rabi,Loamy,480,21,130,2.0,2.0,4.4
Uttar Pradesh,Sugarcane,Annual,Alluvial,900,28,180,3.1,1.5,72.0
Karnataka,Maize,Kharif,Red,640,27,105,1.9,2.8,3.2
Karnataka,Ragi,Kharif,Red,540,26,80,1.3,2.2,1.8
Tamil Nadu,Rice,Kharif,Clay,860,31,155,2.7,2.5,5.5
Tamil Nadu,Groundnut,Kharif,Sandy,510,30,85,1.5,2.0,2.0
Gujarat,Cotton,Kharif,Black,570,32,115,2.2,3.2,2.5
Gujarat,Groundnut,Kharif,Sandy,450,31,90,1.6,2.4,2.2
Bihar,Rice,Kharif,Alluvial,920,29,135,2.4,1.8,4.3
Bihar,Wheat,Rabi,Alluvial,430,20,120,1.9,1.6,3.7
West Bengal,Rice,Kharif,Alluvial,1040,30,145,2.6,1.7,4.8
West Bengal,Jute,Kharif,Alluvial,1120,29,100,1.7,1.9,2.8
Rajasthan,Wheat,Rabi,Sandy,310,23,95,1.6,3.0,2.9
Rajasthan,Bajra,Kharif,Sandy,360,33,60,1.0,3.6,1.2
Madhya Pradesh,Soybean,Kharif,Black,720,28,100,1.8,3.1,2.4
Madhya Pradesh,Wheat,Rabi,Black,470,22,125,1.9,2.7,3.9
Odisha,Rice,Kharif,Alluvial,980,30,125,2.3,2.1,3.9
Odisha,Maize,Kharif,Red,690,28,95,1.7,2.5,2.7
Andhra Pradesh,Rice,Kharif,Clay,910,31,150,2.7,2.3,5.2
Andhra Pradesh,Groundnut,Kharif,Red,530,30,88,1.5,2.6,2.1
Haryana,Wheat,Rabi,Loamy,500,21,138,2.0,2.2,4.6
Haryana,Rice,Kharif,Clay,760,30,158,2.7,2.4,5.6
Kerala,Rice,Kharif,Laterite,1220,28,110,2.0,1.2,3.4
Kerala,Coconut,Annual,Laterite,1850,27,95,1.2,1.0,9.8
Assam,Rice,Kharif,Alluvial,1350,28,115,2.1,1.4,3.6
Assam,Jute,Kharif,Alluvial,1280,29,98,1.6,1.5,2.6
